,name,id,minutes,contributor_id,submitted,tags,nutrition,n_steps,steps,description,ingredients,n_ingredients,region
11649,awesome pierogi casserole,280,90,28201,2002-11-22,"[319, 306, 80, 176, 83, 230, 197, 52, 175, 98, 205, 227, 315, 202, 95, 102, 228, 91, 220, 161, 55, 90, 74, 148, 206, 300, 307, 101, 5]","[849.3, 84.0, 12.0, 29.0, 49.0, 145.0, 21.0]",14,"['preheat oven to 350 degrees', 'place the potatoes in a large pot with water to cover over high heat', 'bring to a boil and cook until the potatoes are tender', 'remove from heat , drain , then combine with milk and 6 tablespoons of butter , mash and set aside', 'melt the remaining 2 tablespoons of the butter in a large skillet over medium high heat', 'saute the bacon , onions and garlic in the butter for 5 to 10 minutes , or until the bacon is fully cooked', 'cook the lasagna noodles according to package directions and cool under running water', 'place 1 / 2 of the mashed potatoes into the bottom of a 9x13-inch baking dish', 'top this with 1 / 3 of the cheese , followed by a layer of lasgana noodles', 'repeat this with the remaining potatoes , another 1 / 3 of the cheese and a layer of noodles', 'then arrange the bacon , onion and garlic over the noodles , then another layer of noodles , and finally top all with the remaining cheese', 'season with salt and pepper to taste', 'bake , uncovered at 350 for 30 to 45 minutes , or until the cheese is melted and bubbly', 'serve with sour cream and chopped fresh chives']","full of flavor, this pierogi-layered casserole is nothing short of rich and hearty. it's a wonderful change from the usual humdrum casserole. taken from allrecipes.com submitted by seanna chauvet.","[709, 224, 691, 916, 495, 416, 820, 143, 894, 592, 962]",11,european
11672,awesome sesame chicken,190,50,31499,2002-05-18,"[7, 306, 176, 83, 230, 229, 14, 62, 58, 90, 166, 167, 170, 178, 59]","[784.0, 61.0, 64.0, 71.0, 131.0, 47.0, 12.0]",16,"['cut the chicken into small , approximately 1-inch cubes', 'add the marinade ingredients and marinate the chicken for at least 20 minutes', 'while the chicken is marinating , prepare the sauce', 'mix together all of the sauce ingredients except for the green onion', 'pour them into a small pot and bring to a boil', 'turn the heat down to a low and keep warm while you are deep-frying the chicken', 'heat oil for deep-frying', 'when the oil is ready , add the marinated chicken a few pieces at a time , sliding them into oil carefully , and not to overcrowd', 'deepfry until golden brown', 'remove the cooked chicken pieces from the oil and drain on paper towels', 'repeat with the remainder of the chicken', 'just before you are finished deep-frying , bring the sauce back up to a boil', 'mix in the green onion', 'place the chicken on a large platter and pour sauce over', 'sprinkle with the sesame seeds', 'serve over rice']","people love this sesame chicken. it tastes as close to the restaurant version as i think you can get. it is from about.com i found this a couple of years ago on that site, and bf requests it a tleast 2-3 times a month. it really is great, and although there are a lot of ingredients, it's basically simple to prepare.","[475, 703, 157, 62, 1001, 642, 101, 323, 444, 741, 998, 109, 64, 752, 436, 121, 322]",17,asian
11678,awesome simple baked potatoes,366,65,55122,2003-04-14,"[319, 306, 80, 176, 83, 230, 189, 171, 135, 6, 265, 227, 315, 202, 95, 169, 316, 90, 168, 172, 166, 170, 101, 5]","[118.3, 0.0, 4.0, 147.0, 5.0, 0.0, 9.0]",6,"['scrub potatoes thoroughly', 'do not dry them', 'cut ends of potatoes so they will stand up straight on oven rack', 'salt potatoes all over', 'stand up on end in 400 degree oven', 'bake potatoes approximately 1 hour , or until tender']",these potatoes are so simple yet the flavor and texture is incredible. i have had friends say they will not bake a potato any other way after trying these!,"[225, 811]",2,north-american
11680,awesome slow cooker pot roast,147,490,63475,2003-03-25,"[306, 80, 176, 230, 197, 6, 175, 24, 95, 228, 91, 137, 144, 214, 82, 90, 74, 178, 242, 42, 192, 300, 253, 307, 101, 3]","[50.0, 4.0, 3.0, 22.0, 1.0, 3.0, 1.0]",3,"['in a slow cooker , mix cream of mushroom soup , dry onion soup mix and water', 'place pot roast in slow cooker and coat with soup mixture', 'cook on high setting for 3 to 4 hours , or on low setting for 8 to 9 hours']","i found this on the all recipes site. this is a very easy recipe for a delicious pot roast. it makes its own gravy. it's designed especially for the working person who does not have time to cook all day, but it tastes like you did. you'll want the cut to be between 5 and 6 pounds.","[957, 119, 101, 560]",4,
11705,awesome thai chicken coconut curry,496,35,121532,2004-01-23,"[85, 7, 306, 80, 176, 83, 230, 197, 175, 117, 229, 14, 303, 195, 58, 290, 90, 279, 70, 178, 300, 101]","[317.5, 37.0, 86.0, 34.0, 5.0, 96.0, 8.0]",6,"['heat the oil in a large wok , add the garlic , saute', 'add the curry , ginger and the thicker cream on top of the can of coconut milk to the wok , whisk', 'now add the rest of the coconut milk in along with everything but the chicken and pineapple , whisk', 'bring to a slow boil for 7 minutes , then discard the lemongrass add the chicken and pineapple and cook till the chicken is no longer pink inside , about 7-9 minutes', 'serve over jasmine rice and top with green onion', 'soooooooooooooo yummy !']","this recipe introduced me to the fantastic flavour of coconut milk and curry paste, its insane how good it is, don't even think of skimping on any of the ingredients, you need them all. fish sauce is super cheap and you can find it in the asian food isle in your supermarket. i hope you enjoy this as much as i do.","[790, 998, 971, 34, 983, 101, 225, 706, 933, 741, 895, 672, 436]",13,asian
11728,awful potatoes,408,60,18757,2001-09-13,"[7, 306, 80, 176, 83, 230, 197, 189, 265, 227, 315, 10, 202, 91, 144, 316, 94, 90, 65, 304, 173, 74, 170, 300, 101]","[612.6, 55.0, 25.0, 14.0, 29.0, 104.0, 20.0]",7,"['cook potatoes in salted water until done', 'drain and put back into the pan', 'add sour cream , cream cheese and garlic salt', 'mash', 'turn into baking dish', 'sprinkle cheddar cheese on top', 'bake in a 350 degree fahrenheit oven for 45 to 50 minutes until puffed and golden brown']","we called them awful potatoes in the hopes that others wouldn't try them and there would be more left for us. unfortunately, everyone in the family is on to us and digs right in.","[709, 101, 225, 592, 784, 103, 143]",7,north-american
11756,aztec guacamole,156,30,47559,2005-05-30,"[4, 306, 80, 176, 83, 230, 197, 189, 171, 12, 75, 315, 180, 95, 188, 27, 108, 90, 279, 168, 166, 167, 136, 170, 42, 300, 101, 266, 301]","[94.8, 11.0, 7.0, 18.0, 2.0, 5.0, 2.0]",9,"['rmove the husks from the tomatillos , wash them well , and roughly chop them', 'put the tomatillos , onion , garlic , and pepper in a food processor or blender', 'process for about eight seconds', 'add the avocado chunks , cilantro , salt , and lime juice to the food processor bowl', 'process an additional ten seconds', 'the texture is supposed to be somewhat chunky - not a puree', 'taste to adjust seasoning', 'you may need to add more serrano pepper', ""the tomatillos and lime will keep the guacamole fresh and it won't turn brown""]","i recently visited my brother and sister-in-law.  she is a fabulous cook who learned from her mother growing up in mexico city.  she doesn't cook from recipes, but from memory and experience of how she was taught.  we had a fabulous meal of beef tacos with this guacamole.  i watched so i could make it at home. it's different than most because of the tomatillos, and it's wonderful with the beef. i posted the beef taco recipe separately.","[105, 83, 752, 495, 21, 846, 225, 795]",8,north-american
11843,baba ganoush   the best in the world,465,35,54716,2003-07-26,"[7, 306, 80, 83, 230, 197, 12, 174, 248, 268, 14, 182, 102, 91, 103, 137, 144, 244, 282, 292, 323, 92, 281, 162, 90, 259, 74, 313, 42, 293, 300, 253]","[103.6, 11.0, 9.0, 0.0, 5.0, 5.0, 3.0]",14,"['prepare a medium-hot fire in a charcoal grill', 'preheat an oven to 375f', 'prick the eggplant with a fork in several places and place on the grill rack 4 to 5 inches from the fire', 'grill , turning frequently , until the skin blackens and blisters and the flesh just begins to feel soft , 10 to 15 minutes', 'transfer the eggplant to a baking sheet and bake until very soft , 15 to 20 minutes', 'remove from the oven , let cool slightly , and peel off and discard the skin', 'place the eggplant flesh in a bowl', 'using a fork , mash the eggplant to a paste', 'add the 1 / 4 cup tahini , the garlic , the 1 / 4 cup lemon juice and the cumin and mix well', 'season with salt , then taste and add more tahini and / or lemon juice , if needed', 'transfer the mixture to a serving bowl and spread with the back of a spoon to form a shallow well', 'drizzle the olive oil over the top and sprinkle with the parsley', 'place the olives around the sides', 'serve at room temperature']","this baba ganoush recipe is from williams-sonoma's small plates by joanne wier, published 1998","[185, 429, 752, 901, 480, 225, 140, 474, 369]",9,asian
11923,baby bok choy with garlic,399,25,134875,2004-11-17,"[4, 306, 80, 176, 83, 230, 171, 6, 317, 265, 315, 14, 95, 27, 90, 173, 168, 166, 167, 136, 170, 126, 33]","[86.1, 10.0, 6.0, 4.0, 7.0, 19.0, 1.0]",5,"['melt butter in heavy large skillet over moderate heat', 'add minced garlic and saute about 2-3 minutes until barely golden / brown', 'add bok choy and chicken broth and simmer until bok choy is tender , turning occasionally , about 8 minutes', 'season with salt and pepper', 'use a slotted spoon to serve']","not sure where i found this baby bok choy recipe, it's either from gourmet or bon appetit. it's quick, delicious, and compliments any asian stir-fry.","[997, 416, 44, 358]",4,asian
11998,baby pacifiers  shower favors,480,20,111342,2005-03-02,"[4, 306, 230, 197, 110, 6, 95, 27, 144, 121, 192, 193]","[131.7, 0.0, 85.0, 0.0, 0.0, 0.0, 10.0]",7,"['unwrap all the lifesavers', 'take one lifesaver and apply a thin layer of frosting around the inner hole', 'grab a jellybean and place one of the short , round ends in it , so the length of the jellybean is coming out of the hole', 'flip the lifesaver over', 'on the other side , take the frosting and make a slightly thicker layer of frosting around the inner hole / center , and place another lifesaver perpendicular attaching edge of 2nd lifesaver to center of 1st lifesaver with jellybean attached to it', 'place on flat surface and allow to dry', 'after drying for 3-4 hours , thread curling ribbon through the hole of the 2nd lifesaver and tie in a knot']",i saw this on an episode of ,"[405, 440, 128, 36]",4,
12115,bacardi rum cake,155,84,5060,2001-11-18,"[319, 306, 80, 176, 83, 230, 197, 189, 88, 117, 10, 47, 202, 95, 228, 91, 144, 44, 195, 90, 65, 187, 203, 307, 101, 5]","[669.4, 55.0, 205.0, 24.0, 11.0, 47.0, 23.0]",15,"['sprinkle nuts over bottom of greased 10 inch tube pan or 12 cup bundt pan', 'stir together cake mix , pudding mix , eggs , water , oil and rum', 'pour batter over nuts', 'bake at 325 in oven for 1 hour', 'cool 10 minutes in pan', 'invert onto serving plate and prick top', 'glaze-----------------', 'melt butter in saucepan', 'stir in water and sugar', 'boil 5 minutes , stirring constantly', 'remove from heat', 'stir in rum', 'brush glaze evenly over top and sides of cake', 'allow cake to absorb glaze', 'repeat until glaze is used up']","this bacardi rum cake is lovely and moist. i usually make it around new years, makes a nice looking dessert for a buffet and the taste is rich and wonderful. from a magazine add, many years ago.","[637, 989, 958, 441, 253, 234, 65, 691, 101, 2]",10,north-american
12133,back porch bayou shrimp   corn  rsc,49,45,2193374,2012-09-18,"[7, 306, 80, 176, 83, 230, 189, 175, 258, 10, 274, 264, 81, 90, 166, 167, 170, 262, 101, 239]","[404.4, 33.0, 21.0, 50.0, 55.0, 58.0, 8.0]",16,"['over medium high heat saut the diced bacon in a sauce pan until it just starts to crisp', 'while the bacon is cooking dice the onion and then add to the pot', 'while the onion is cooking dice the red pepper and add', 'mince the garlic and add', 'remove the zest from the lemon and set it aside and then add the juice from the lemon to the sauted vegetables along with the wine , worcestershire sauce , black pepper and creole seasoning', 'stir in 2 tablespoons of the butter , reduce the heat , and allow to the sauce to simmer , stirring occasionally , while preparing the corn', 'put the remaining 2 tablespoons of butter in a small bowl', 'add 1 tablespoon of the sauce and mix in 1 / 2 of the green onion , parsley and lemon zest to make a compound butter for the corn', 'tear off 4 rectangles of heavy duty reynolds wrap that are about 3 longer than each ear of corn is lengthwise and then place each ear in the middle running lengthwise and rub the corn all over with the compound butter , and seal each ear up tightly so that the butter doesnt leak out while cooking', 'place the corn on a preheated hot grill and allow it to cook for about 7 minutes with the lid down', 'meanwhile remove the sauce for the shrimp from the heat and stir in the heavy cream and then in a medium sized bowl mix the shrimp with the sauce', 'tear off four 12 squares of heavy duty reynolds wrap and spread 1 / 4 of the shrimp in the middle of each square', 'taking the foil by two corners at a time , fold the foil over the shrimp to make boats', 'turn the corn and place the shrimp boats on the grill , and cook them both , covered , for about 8 minutes more', 'allow the corn and shrimp to rest for a few minutes before serving as they will be very hot', 'to serve , open the shrimp packages and sprinkle the remaining green onion , parsley and lemon zest over the shrimp']","ready, set, cook!  reynolds wrap contest entry.  pour a glass of sweat tea, sit back, close your eyes and you can almost here the cicadas humming while you enjoy this creole inspired dish, and because it's cooked and served in reynolds wrap clean up is so easy that you can linger on the porch a little longer.  to bring back that feeling in the dead of winter place the packages on a baking sheet and cook in a 400 degree oven, and although 1 1/2 lbs. of shrimp is plenty, everyone always wants more.","[376, 495, 1002, 790, 623, 31, 772, 443, 826, 691, 93, 63, 814, 298, 7, 593]",16,north-american
12175,bacon   egg casserole,70,90,116195,2004-02-11,"[17, 306, 80, 176, 230, 36, 52, 222, 202, 90, 167, 170, 178, 101, 5]","[460.4, 56.0, 4.0, 42.0, 36.0, 70.0, 4.0]",9,"['grease a 9x13 glass baking dish and set aside', 'fry the bacon , drain on paper toweling , cut into 1 inch pieces', 'cube the bread into 3 / 4 inch pieces and set aside', 'in a large bowl , beat the eggs', 'add the milk , mustard powder , salt , and blend well', 'stir in the bacon , cheese , and bread cubes', 'stir well to combine', 'pour the mixture into the baking dish , cover with plastic wrap , and refrigerate overnight', 'preheat oven to 350f and bake for one hour']","another one from the penzey's spices catalog. a great way to use that stale bread. i like to add a diced, sauteed onion to this.","[916, 441, 224, 271, 225, 143, 902]",7,
12273,bacon and egg cups,400,25,129958,2005-04-10,"[17, 4, 306, 80, 176, 230, 6, 317, 36, 98, 222, 95, 97, 90, 122, 167, 111, 170, 178]","[216.3, 25.0, 1.0, 11.0, 28.0, 27.0, 0.0]",7,"['preheat oven to 350 degrees', 'pre- cook bacon for 5-10 minutes', 'using a muffin / cupcake pan , line the holes with a slice of bacon , pressing the bacon around the sides of the hole , not on the bottom', 'crack one egg into each hole', 'sprinkle with salt and pepper and cheese if desired', 'bake at 350 degrees for 20 minutes or until the egg is the doneness you like', 'these bacon and egg cups should pop right out of the pan']","this is a simple recipe that my husband makes for us a lot for breakfast.  just takes one pan and you have bacon and eggs! this recipe easily adapts to how many you want to make, just use more muffin/cupcake pans!  now if you like to have your bacon crispy, this will not be for you.  the bacon gets done but not crispy! the bacon flavors the egg, which is much like a poached or boiled egg. the servings are based on two bacon and egg cups per person. hope you enjoy!","[441, 916, 39, 225, 851]",5,
12322,bacon and potato chowder,193,35,7308,2001-10-13,"[17, 7, 306, 80, 176, 230, 197, 174, 175, 270, 222, 227, 315, 95, 103, 323, 64, 290, 90, 199, 259, 74, 178, 300, 101]","[188.0, 9.0, 12.0, 34.0, 10.0, 9.0, 9.0]",10,"['fry bacon until crisp , and chop', 'drain and use paper towel to soak up excess fat', 'in a large pot , sautee onion and garlic with 2 tbsp bacon drippings', 'add potatoes , water , bouillon cubes to pot', 'heat to boiling , then cover and simmer until potatoes are cooked , then add bacon', 'mix flour with a small amount of evaporated milk , making a paste', 'gradually stir in remaining milk', 'add to potato mixture', 'cook over medium heat until mixture comes to a boil and thickens', ""stir often to ensure the soup doesn't burn on the bottom of the pot""]","very filling, tasty, and easy to make. for best results, buy a good, very smokey bacon from a butcher shop.","[916, 495, 790, 709, 101, 602, 1001, 208]",8,
12450,bacon cheeseburger  stove top  casserole,345,40,37305,2002-04-18,"[17, 7, 306, 80, 176, 230, 197, 52, 175, 24, 205, 222, 202, 95, 228, 156, 290, 90, 199, 74, 148, 128, 178, 206, 300, 307, 101]","[833.7, 73.0, 32.0, 54.0, 90.0, 96.0, 18.0]",12,"['cook pasta in salted water , drain , rinse and set aside', 'cook bacon in microwave or frying pan until crisp and set aside', 'in a large skillet or deep fryer pan , brown ground beef and onion over medium heat', 'sprinkle with salt and pepper', 'drain any grease from beef', 'crumble bacon into beef and onion mixture', 'add tomato soup and let simmer for 5 minutes', 'add pasta and stir until coated and combined well', 'sprinkle cheddar cheese over the top and cover', 'simmer for 5 minutes or until cheese is melted', 'serve right out of the pan', 'enjoy !']","who doesn't like bacon cheeseburgers? this is sooooo good and family friendly. plus, it's a whole meal in one pot! all 4 of my kids love it, as do me and my husband. it is kind of like ""glorified hamburger helper"" but you can tell it is from scratch! it's also quick and easy :) this recipe will serve 8, so you may want to half it for a smaller family...however, you probably will wish you hadn't because you will want leftovers!","[169, 975, 916, 40, 430, 225, 851, 609]",8,
12460,bacon cheeseburger meatloaf  paula deen,146,70,37036,2006-05-25,"[306, 176, 83, 230, 197, 189, 24, 222, 10, 156, 90, 74, 143, 167, 128, 142, 170, 178, 300, 5]","[726.8, 84.0, 27.0, 52.0, 82.0, 121.0, 5.0]",10,"['preheat oven to 350f', 'spray a baking dish with non-stick cooking spray', 'in a large mixing bowl , combine the first 9 ingredients , mixing well by hand', 'in a small bowl , combine ketchup and mustard', 'stir in 1 / 4 cup ketchup mixture into the meat mixture', 'place meat mixture in baking dish and shape into a loaf', 'spread remaining ketchup mixture over meatloaf', 'bake for 40 minutes', 'remove from oven and top with french fried onions', 'return to oven and bake 10-15 minutes longer , or until meat is no longer pink']","this recipe comes from a ""cooking with paula deen"" magazine (may/june 2006).  my family loves this served with macaroni and cheese.  the leftovers made a delicious sandwich the next day, topped with your favorite burger toppings.","[650, 916, 360, 441, 770, 608, 772, 225, 851, 378, 879, 626]",12,north-american
12466,bacon cheeseburger potato pie,357,60,124190,2004-04-25,"[7, 306, 80, 176, 230, 197, 175, 24, 227, 315, 90, 74, 167, 128, 170, 178, 300, 231, 261]","[489.6, 41.0, 18.0, 30.0, 64.0, 56.0, 9.0]",20,"['heat oven to 375 degrees f', 'combine ground beef , breadcrumbs , onion , ketchup , mustard and salt and mix well', 'press hamburger mixture in bottom and up sides of an ungreased 9 inch pie pan to cover completely', 'bake in preheated oven for 15 minutes', 'while meat mixture is baking , cook bacon until crisp', 'drain on paper towel , cool , and crumble', 'discard bacon drippings or save for another recipe', 'in a medium sauce pan , combine water , margarine and garlic salt', 'bring to a boil', 'remove from heat and add milk', 'with a fork , stir in potato flakes', 'then stir in 1 / 2 cup of cheddar cheese', 'remove partially baked""crust"" from oven , pour off any fat', 'spoon potato mixture into crust evenly', 'return to oven for another 10-15 minutes or until meat is thoroughly cooked , and potatoes are heated through', 'remove pie from oven', 'top with tomato , remaining cheese and crumbled bacon', 'return to oven , and bake for 5 minutes longer , until cheese is melted', 'remove from oven , top with green onions', 'let stand 10 minutes before serving']","my husband and father-in-law love this! it's a bit time-consuming, but worth the spectacular results. truly a handsome dish! from one of those pillsbury mini-magazine things you buy at the supermarket. please note that you can use leftover mashed potatoes as well, or make homemade if you really hate instant!","[975, 411, 495, 378, 879, 225, 916, 101, 290, 103, 224, 367, 143, 372, 93]",15,
12492,bacon cocktail weenies,443,50,134550,2004-04-06,"[7, 306, 80, 230, 197, 6, 12, 95, 27, 91, 105, 144, 90, 231]","[633.5, 52.0, 293.0, 27.0, 17.0, 56.0, 24.0]",14,"['preheat oven to 350 degrees', 'spray 9x13 inch cake pan with non stick spray', 'open package of bacon and cut entire slab into thirds', 'wrap a third of a slice of bacon around each cocktail weenie and secure with toothpicks', 'place each bacon wrapped weenie in cake pan , making sure to crowd them together', 'liberally cover weenies with brown sugar , leaving only the toothpicks exposed', 'place weenies in hot oven', 'every 10 minutes or so , baste weenies with sugar / bacon grease mixture and break up any lumps of sugar', 'continue until sugar is completely melted and bacon is thoroughly cooked', 'when serving , be sure to drizzle sugar / bacon grease over weenies and on the platter', 'some people like to swirl their weenies in the syrup before cramming them in their mouths', ""i've never really timed this recipe , but i'm going to guesstimate the time at@30-40 minutes"", 'servings also depend on the crowd you are feeding', 'my crew will argue that 15-20 weenies qualify as a serving !']","this is my most requested recipe for parties. everyone is always stunned at how simple the ingredients are. if you are serving a large number of people, you may want to double the recipe, i have seen folks stumble over each other to reach the last weenie on the platter!","[916, 908, 295, 190]",4,
12549,bacon in the oven,494,25,1397030,2009-09-28,"[17, 4, 306, 80, 176, 83, 230, 197, 189, 109, 171, 135, 6, 36, 222, 10, 47, 95, 27, 156, 169, 90, 173, 168, 149, 172, 166, 148, 136, 308, 170, 178, 42, 300, 253, 193, 3]","[3.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",5,"['first all you need to do is take the bacon and lay it down on any of the following , cookie sheet , parchment paper , or aluminum foil', 'we do this for an easy clean up but if you want just lay down on your baking pan', 'then sprinkle the bacon with black pepper', 'next turn on your oven to 400 degrees fahrenheit', ""put your bacon in and wait about 15 min to check on it then as soon as the bacon is crispy brown or golden brown take it out and you're done !""]","now you can make bacon in no time! it's easy, not messy at all and everyone loves it! also there is no exact amount. it has a great smokey taste.","[916, 708]",2,north-american
12559,bacon lattice tomato muffins  rsc,477,60,2390546,2012-09-06,"[319, 7, 306, 80, 176, 83, 230, 197, 189, 175, 98, 222, 315, 10, 55, 199, 178, 42, 101, 239]","[664.3, 71.0, 42.0, 68.0, 37.0, 101.0, 14.0]",20,"['preheat oven to 400f line a rimmed baking sheet with reynolds wrap foil', 'spray lightly with non-stick spray or use non-stick reynolds wrap foil', 'cut bacon into 3"" pieces', 'make 8 bacon lattices about 3', '5"" square', ""arrange lattices on foil so they don't touch"", 'bake 8 - 10 minutes until browned', 'remove to paper towel to blot grease', 'reduce oven temp to 350f', 'press biscuits into a muffin pan to form 8 cups or use 3', '5"" oven proof ramekins', 'in a medium bowl , mix mayonnaise , cream cheese , rosemary , salt , and pepper', 'mix in tomatoes and onions', 'spoon mixture evenly into the 8 biscuit cups', 'top with cheese', 'wrap each loosely with classic reynolds wrap foil without touching the cheese', 'bake 30 minutes', 'remove foil and center a bacon lattice on top of each', 'bake another 3-5 minutes until bacon sizzles', 'remove from oven and allow to set 5 minutes']","""ready, set, cook! contest entry."" bacon lattice and cheese topped flaky biscuits filled with fresh chopped tomatoes and onions in a seasoned cream cheese and mayonnaise mixture. this recipe is not only eye appealing but also adds a lot of flavor to your taste buds!","[593, 916, 311, 608, 784, 751, 225, 851, 817, 249, 974]",11,north-american
12579,bacon mushroom chicken,246,70,28201,2002-12-08,"[17, 319, 306, 80, 176, 83, 230, 197, 189, 175, 222, 229, 315, 10, 202, 95, 91, 58, 90, 74, 186, 178, 300, 101, 5]","[185.9, 25.0, 0.0, 4.0, 17.0, 43.0, 0.0]",9,"['preheat oven to 350', 'pour melted butter into a 9x13-in baking dish', 'add chicken , skin side down , sprinkle with seasoning salt and garlic', 'turn chicken over , season and lay bacon strips on top', 'sprinkle with mushrooms', 'bake in the preheated oven for 45-60 minutes , or until chicken is no longer pink and juices run clear', 'remove chicken , bacon and mushrooms to a platter and keep warm', 'pour juices from baking dish into a small saucepan and whisk together with cream over low heat until thickened', 'pour sauce over chicken and serve warm']","very easy to put together, and the result is fabulous. make sure to serve mashed potatoes or rice along side of this, to mop up the great tasting sauce!","[691, 184, 638, 790, 916, 368, 298]",7,north-american
12587,bacon parmesan brussels sprouts,254,25,149363,2004-10-26,"[17, 4, 306, 80, 176, 83, 230, 197, 189, 265, 222, 315, 47, 95, 286, 27, 91, 103, 144, 323, 290, 90, 304, 259, 167, 170, 178, 101, 301]","[113.8, 12.0, 6.0, 6.0, 10.0, 18.0, 2.0]",6,"['cut ends off brussels sprouts and remove yellow or spotted leaves', 'score an""x"" on the bottom of each sprout to allow the bitterness to escape', 'steam cook or boil sprouts until tender crisp', 'heat the next 5 ingredients over low heat , stirring constantly , until mixture is hot', 'combine all in casserole dish and toss to coat', 'grate fresh ground black pepper over top , and sprinkle with extra cheese and serve']","i love brussels sprouts, and these are a really nice change of pace with a great flavour. try them...you'll like them!","[982, 916, 592, 259, 691, 416, 351]",7,north-american
12621,bacon rollups,159,45,53366,2002-08-27,"[17, 7, 306, 80, 176, 83, 230, 197, 189, 12, 36, 98, 222, 10, 95, 105, 144, 156, 55, 90, 65, 196, 178, 193, 231]","[55.3, 3.0, 3.0, 4.0, 4.0, 3.0, 2.0]",10,"['combine cream cheese and milk stirring until of spreading consistency', 'spread 1 teaspoon of cheese mixture on each halved bread slice', 'roll tightly from the smallest end', 'wrap with bacon and secure with toothpick', 'place on broiler pan', 'bake at 350 degrees fahrenheit for 30 minutes', 'turn if necessary', 'garnish with parsley if desired', 'to serve , remove frozen rollups from freezer and allow to thaw in the refrigerator over night', 'then bake at 350 degrees fahrenheit for 30 to 40 minutes']",from an old 1979 issue of southern living. my 21 year old son still requests this treat often.,"[22, 224, 11, 916, 453]",5,north-american
12688,bacon wrapped boursin stuffed chicken breasts   a deux,385,75,242729,2007-03-02,"[17, 306, 80, 176, 83, 230, 197, 109, 174, 175, 98, 222, 229, 113, 202, 102, 91, 244, 100, 55, 58, 196, 178, 59, 300, 253, 101, 193, 231, 261, 5]","[302.2, 23.0, 10.0, 28.0, 69.0, 21.0, 1.0]",21,"['pre-heat the oven to 190c / 375f / gas 5', 'lightly oil an oven proof dish with the teaspoon of olive oil - using a pastry brush is best', ""place one chicken breast between a large piece of cling film and gently beat it with a cook's mallet - beating until large and fairly thin - try not make any holes in the chicken ! repeat with the second chicken breast"", 'place the chicken breasts on a work board and spread half the boursin cheese on each chicken piece - make sure it is spread evenly right up to the edges', 'roll the chicken breasts up - tucking the last small ""fillet"" flap up and into the stuffed roll', 'wrap the bacon pieces or pancetta ham around the stuffed chicken , making sure they do not overlap too much and the edges are sealed underneath', 'gently lift them into the oiled oven dish', 'season well with freshly ground black pepper', 'if using the lemon juice , pour over the top of the chicken breasts now', 'scatter or arrange the cherry tomatoes around the chicken pieces', 'place in the middle of a pre-heated oven and roast for between 45 - 55 minutes', 'the cooking time depends on the size of the chicken breasts and your oven', 'remove from the oven and place the chicken breasts on a plate - you can serve them whole or sliced', 'garnish with watercress , as well as the roasted cherry tomatoes', 'serve with a selection of seasonal fresh vegetables and a jacket potato , making sure you spoon the excess boursin sauce over the top of the chicken pieces and the roasted cherry tomatoes !', 'on taking the chicken out of the oven , add the creme fraiche and white wine to the boursin cooking juices in the oven dish , whisk together and then gently heat , whisking all the time , over medium heat on top of the stove , or decant the creme fraiche , wine and juices to a small saucepan and heat the sauce in the pan', 'to freeze:', 'as soon as you have stuffed and wrapped the bacon around the beaten chicken breasts , wrap individually in cling film and put into a freezer container or a freezer bag', 'take them out as required and allow to defrost for 4-5 hours at room temperature or overnight in the fridge', 'cook as above', 'can be frozen for up to 3 months with no adverse effects on the boursin cheese']","delicious chicken breasts, wrapped in bacon or pancetta to ensure they remain moist, stuffed with boursin garlic & herb cheese and then roasted with cherry tomatoes on the vine......delectable! i have posted this recipe for two  - obviously it is very easy to increase the quantities for more people. serve with a selection of seasonal vegetables & a jacket potato for an all year round simple & impressive supper dish. these can be frozen at the stuffed and bacon wrapped stage - i often have at least a dozen, individually wrapped in cling film in the freezer. they take about 4-5 hours to defrost, so make sure you take them out of the freezer in time! a tip: i sometimes add a dollop of creme fraiche and a little white wine to the juices, to make an unctious wine sauce - this is optional, but delicious if you fancy a creamy sauce with these stuffed chicken breasts.","[895, 285, 628, 587, 159, 225, 351, 454, 49, 31, 662]",11,french
12699,bacon wrapped chicken  oamc,5,70,3288,2003-12-31,"[17, 306, 80, 176, 83, 230, 197, 189, 6, 317, 175, 98, 222, 229, 10, 202, 95, 91, 103, 282, 292, 323, 38, 58, 112, 90, 259, 196, 143, 167, 142, 170, 178, 101, 193, 231, 261, 5]","[317.6, 33.0, 4.0, 14.0, 56.0, 51.0, 0.0]",11,"['flatten chicken to 1 / 2"" thickness', 'spread 3 tablespoons cream cheese over each chicken piece', 'dot with butter and sprinkle with salt', 'roll up', 'wrap each with a bacon strip', 'place , seam side down , in a greased pan', 'bake , uncovered , at 400f for 35-40 minutes or until juices run clear', 'broil 6 inches from the heat for 5 minutes or until bacon is crisp', 'if you are making these ahead for future use , freeze these uncooked on a cookie sheet in your freezer', 'when solid , wrap and put in a ziplock bag or vacuum seal desired quantities', 'to cook from frozen state , thaw before cooking and follow directions above']",this is another great way to make something great ahead of time to thaw as needed or eat right now with little effort!,"[458, 511, 691, 225, 916]",5,north-american
